316100,283300
318800,287100
329900,290100
332300,294700
331800,297800
330200,297700
323100,292700
322800,298100
328200,304300
326700,305300
329000,306700
331100,314600
334800,313300
331700,318700
326500,320500
326800,322100
324500,321100
321500,322900
323800,330200
322300,331800
326300,337400
329900,337200
334500,341700
337400,338400
343300,338700
345900,334300
350900,336600
350700,341700
352500,343600
358000,344000
360100,340500
363600,339800
365000,342000
369300,340800
374300,344500
373900,339500
372600,340600
368400,333900
369200,331500
374200,332600
372000,325600
378500,316600
378400,310900
383300,309400
384100,304800
382700,301300
378700,301800
378100,299900
382100,296900
380900,295000
382400,291700
378800,287700
380400,284600
375200,280800
374600,278200
377200,276800
367600,274400
367300,270700
363000,271600
361600,268100
358200,267700
354300,271600
351400,268100
347800,270800
349200,273700
345800,273800
343800,277300
338200,276800
337200,275800
338500,274700
334900,272700
328900,272300
316100,283300
